Datetime,Close,High,Low,Open,Volume
2025-12-01 20:15:00+00:00,25348.927734375,25359.5703125,25334.501953125,25358.578125,26232678
2025-12-01 20:30:00+00:00,25367.859375,25368.359375,25335.671875,25349.359375,40413930
2025-12-01 20:45:00+00:00,25342.912109375,25369.423828125,25315.42578125,25369.423828125,73912893
2025-12-02 14:30:00+00:00,25544.568359375,25560.671875,25430.763671875,25442.919921875,50582092
2025-12-02 14:45:00+00:00,25549.958984375,25557.3515625,25517.767578125,25545.130859375,56568791
2025-12-02 15:00:00+00:00,25583.408203125,25601.099609375,25545.826171875,25551.451171875,55576759
2025-12-02 15:15:00+00:00,25525.001953125,25594.853515625,25522.4453125,25589.7265625,48250354
2025-12-02 15:30:00+00:00,25574.5703125,25578.13671875,25491.763671875,25522.482421875,47195340
2025-12-02 15:45:00+00:00,25599.32421875,25621.96484375,25568.3671875,25576.333984375,41521615
2025-12-02 16:00:00+00:00,25493.9140625,25611.9375,25480.6484375,25598.79296875,54438574
2025-12-02 16:15:00+00:00,25414.302734375,25502.013671875,25399.591796875,25489.21875,47047987
2025-12-02 16:30:00+00:00,25446.748046875,25475.5078125,25369.35546875,25428.587890625,39854018
2025-12-02 16:45:00+00:00,25463.0234375,25484.177734375,25434.783203125,25444.25,28025576
2025-12-02 17:00:00+00:00,25502.1875,25502.921875,25463.626953125,25463.626953125,29322258
2025-12-02 17:15:00+00:00,25557.49609375,25564.34375,25500.822265625,25502.5,26038195
2025-12-02 17:30:00+00:00,25549.7890625,25572.720703125,25538.70703125,25557.142578125,23045430
2025-12-02 17:45:00+00:00,25462.484375,25557.681640625,25462.484375,25550.421875,22327973
2025-12-02 18:00:00+00:00,25503.771484375,25527.341796875,25452.19921875,25455.658203125,25127291
2025-12-02 18:15:00+00:00,25516.48046875,25536.443359375,25494.23046875,25504.46875,22868175
2025-12-02 18:30:00+00:00,25511.48828125,25527.615234375,25486.59375,25513.74609375,20204815
2025-12-02 18:45:00+00:00,25528.525390625,25536.853515625,25498.826171875,25509.82421875,28166916
